Name,Released year,Duration,Categories,Description,Metascores,Ratings
53. The Pianist,2002,,R,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",85,8.5 (916K)
54. Casablanca,1942,,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,100,8.5 (607K)
55. The Intouchables,2011,,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",57,8.5 (932K)
56. Rear Window,1954,,PG,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced one of them has committed murder.",100,8.5 (523K)
57. Grave of the Fireflies,1988,,Not Rated,A young boy and his little sister struggle to survive in Japan during World War II.,94,8.5 (312K)
58. Cinema Paradiso,1988,,PG,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,80,8.5 (284K)
59. Modern Times,1936,,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,96,8.5 (260K)
60. Sita Ramam,2022,,2h 43m,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.",,8.5 (69K)
61. City Lights,1931,,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",99,8.5 (196K)
62. 96,2018,,Not Rated,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,,8.5 (37K)
63. Apocalypse Now,1979,,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,94,8.4 (712K)
64. Inglourious Basterds,2009,,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",69,8.4 (1.6M)
65. Avengers: Endgame,2019,,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",78,8.4 (1.3M)
66. Aliens,1986,,R,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",84,8.4 (765K)
67. Joker,2019,,R,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",59,8.4 (1.5M)
68. Amadeus,1984,,PG,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",87,8.4 (429K)
69. The Dark Knight Rises,2012,,PG-13,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",78,8.4 (1.8M)
70. The Shining,1980,,R,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",68,8.4 (1.1M)
71. Avengers: Infinity War,2018,,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,68,8.4 (1.2M)
72. Memento,2000,,R,A man with short-term memory loss attempts to track down his wife's murderer.,83,8.4 (1.3M)
73. Come and See,1985,,Not Rated,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",,8.4 (98K)
74. Raiders of the Lost Ark,1981,,PG,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",86,8.4 (1M)
75. Your Name.,2016,,1h 46m,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",81,8.4 (322K)
76. Spider-Man: Into the Spider-Verse,2018,,PG,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,87,8.4 (675K)
77. Coco,2017,,PG,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",81,8.4 (593K)
78. 3 Idiots,2009,,PG-13,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",67,8.4 (436K)
79. WALL·E,2008,,G,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",95,8.4 (1.2M)
80. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,PG,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",97,8.4 (519K)
81. The Lives of Others,2006,,R,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",89,8.4 (411K)
82. Capernaum,2018,,R,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",75,8.4 (106K)
83. Das Boot,1981,,2h 29m,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,85,8.4 (265K)
84. Sunset Boulevard,1950,,Approved,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,94,8.4 (237K)
85. Paths of Glory,1957,,Approved,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.",90,8.4 (213K)
86. Witness for the Prosecution,1957,,Approved,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,76,8.4 (138K)
87. The Great Dictator,1940,,G,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,,8.4 (238K)
88. High and Low,1963,,Not Rated,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,90,8.4 (54K)
89. Sardar Udham,2021,,TV-MA,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",,8.4 (47K)
90. Kaithi,2019,,Not Rated,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",,8.4 (43K)
91. Asuran,2019,,Not Rated,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",,8.4 (34K)
92. Drishyam 2,2021,,2h 32m,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,,8.4 (41K)
93. Oppenheimer,2023,,R,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,90,8.3 (742K)
94. Incendies,2010,,R,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,80,8.3 (202K)
95. Good Will Hunting,1997,,R,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",71,8.3 (1.1M)
96. American Beauty,1999,,R,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,84,8.3 (1.2M)
97. Requiem for a Dream,2000,,NC-17,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,71,8.3 (901K)
98. Heat,1995,,R,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,76,8.3 (721K)
99. Oldboy,2003,,R,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",78,8.3 (638K)
100. Braveheart,1995,,R,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,68,8.3 (1.1M)
